File: Roca_mat_ricette.rds 
---------------------------------
Simmetrica: No ❌ 

Matrice:
      [,1] [,2] [,3] [,4] [,5] [,6] [,7] [,8] [,9] [,10] [,11] [,12] [,13] [,14] [,15] [,16] [,17] [,18] [,19] [,20] [,21]
 [1,]    0   10    7   11    9    8    6    8    4     5     3     5     7     9     9    12     6     4     9     8     5
 [2,]    0    0    7   10   10    8    6    6    3     6     3     8     7    14     9    12     8     6    11     8     7
 [3,]    0    0    0    7    8    6    7    6    4     4     3     4     5    10     6     7     4     4     9     6     3
 [4,]    0    0    0    0    9   10    7    9    4     7     3     7     5    11    10    11     6     6    10     9     6
 [5,]    0    0    0    0    0   11    7    6    5     4     5     7     7    13    10    14     6     5    18     8     6
 [6,]    0    0    0    0    0    0    6    6    3     6     6     5     4     9     9     9     5     4     9     7     5
 [7,]    0    0    0    0    0    0    0    6    3     5     3     4     3    10     9     9     6     5     8    10     5
 [8,]    0    0    0    0    0    0    0    0    4     4     3     3     4     7     8     9     4     4     7     7     3
 [9,]    0    0    0    0    0    0    0    0    0     3     2     3     5     6     3     4     3     3     5     3     2
[10,]    0    0    0    0    0    0    0    0    0     0     3     5     3     6     5     6     4     7     4     5     5
[11,]    0    0    0    0    0    0    0    0    0     0     0     3     3     3     3     3     4     3     4     3     3
[12,]    0    0    0    0    0    0    0    0    0     0     0     0     6    10     6     9     6     7     7     6     6
[13,]    0    0    0    0    0    0    0    0    0     0     0     0     0     6     5     7     6     6    10     5     7
[14,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0    11    15    10     6    15    11     7
[15,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0    20     6     6    11    11     8
[16,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     7     9    17    12    11
[17,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     5     7     7     6
[18,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     5     6     6
[19,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     9     7
[20,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     7
[21,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[22,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[23,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[24,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[25,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[26,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[27,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[28,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[29,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[30,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[31,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[32,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[33,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[34,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[35,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[36,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[37,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
[38,]    0    0    0    0    0    0    0    0    0     0     0     0     0     0     0     0     0     0     0     0     0
