Nodo A,Nodo B,Peso (Forza Legame)
14,15,20
4,18,18
15,18,17
3,35,16
13,15,15
18,41,14
1,13,14
15,22,13
13,35,12
15,19,12
14,33,12
0,15,12
6,38,12
15,50,12
15,25,12
15,46,12
5,24,11
13,44,11
17,47,11
15,20,11
13,26,11
4,5,11
0,31,11
4,53,11
22,27,11
11,13,10
13,16,10
15,21,10
6,13,10
2,13,10
12,18,10
27,28,9
25,40,9
13,49,9
3,7,9
0,34,9
4,30,9
17,29,9
15,17,9
4,32,8
17,23,8
32,45,8
3,51,7
17,55,7
16,42,7
5,56,7
3,9,7
1,36,6
0,43,6
8,13,6
5,10,6
1,37,5
1,39,5
1,54,4
15,52,4
24,48,4
